"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"beta0",1.97030608639014,0.00271990857703217,0.225916277520148,1.5311454296799,1.8150457305747,1.97051140340781,2.1209661509256,2.41959324778866,6899.00458860822,1.00051374682603
"beta1",-0.40826699424149,0.00739477711899356,0.611639947870338,-1.59223598845021,-0.817779439610598,-0.410447790966964,0.000985477859566063,0.79515213365216,6841.34524991454,0.999915362442432
"eta",2.2492326775226,0.00169625812336902,0.150170589999436,1.98371200614114,2.1423355713726,2.24026407230081,2.34710609485224,2.56718387668677,7837.65049584837,0.999827730655181
"theta_pred[1]",1.97030608639014,0.00271990857703217,0.225916277520148,1.5311454296799,1.8150457305747,1.97051140340781,2.1209661509256,2.41959324778866,6899.00458860822,1.00051374682603
"theta_pred[2]",1.96675593861413,0.00268168187531457,0.223975277184862,1.53184489350197,1.81350994931839,1.96623135954961,2.11629985549521,2.41102525232249,6975.66558076913,1.00051050061534
"theta_pred[3]",1.96320579083812,0.00264446627031521,0.222144683300732,1.53045657779311,1.81078414179562,1.9631883343316,2.11185054836545,2.40311240125184,7056.60459159565,1.00050646047154
"theta_pred[4]",1.9596556430621,0.0026083050212959,0.22042724657991,1.52914085142663,1.808747315485,1.96019218809375,2.10722191377263,2.39583542221642,7141.90052174174,1.00050160049741
"theta_pred[5]",1.95610549528609,0.00257324255725127,0.2188256313554,1.52913917676071,1.80654619981908,1.95518065054935,2.10210525056961,2.38921174555081,7231.60888547956,1.00049589890684
"theta_pred[6]",1.95255534751008,0.002539324371942,0.217342398138628,1.5288312379189,1.80334025492554,1.95192864210649,2.09721891758657,2.38245507693861,7325.75765402637,1.00048933861648
"theta_pred[7]",1.94900519973406,0.00250659689495385,0.215979985893326,1.52815291332338,1.80086446280959,1.9477112372014,2.09324437345453,2.37556284073718,7424.34290481746,1.00048190780755
"theta_pred[8]",1.94545505195805,0.00247510733699221,0.214740694260738,1.52830371765999,1.79859425161323,1.94466010171113,2.08944705882847,2.36947256275674,7527.32435973419,1.00047360044005
"theta_pred[9]",1.94190490418204,0.0024449035078954,0.213626665994575,1.52793330226794,1.79569239151059,1.94092155219617,2.08560936200047,2.36462318132045,7634.62091931786,1.00046441670107
"theta_pred[10]",1.93835475640603,0.00241603360623131,0.212639869882397,1.52612944110224,1.79237963108063,1.93716545503405,2.08224799005957,2.35894808327803,7746.10632500015,1.0004543633698
"theta_pred[11]",1.93480460863001,0.00238854597984556,0.211782084441813,1.52341753158683,1.78936057325387,1.93342855093139,2.07890012825643,2.35426295612353,7861.60510599698,1.00044345408216
"theta_pred[12]",1.931254460854,0.00236248885735806,0.21105488268388,1.51963253723049,1.78630238771231,1.93061735055612,2.0745715109799,2.34994671903931,7980.88899001141,1.00043170948083
"theta_pred[13]",1.92770431307799,0.00233791005136152,0.210459618231539,1.5181960718776,1.78434040454657,1.92750435950827,2.07111781972373,2.34402438723622,8103.6739751327,1.0004191572389
