"b_Intercept","b_AU10","b_AU12","sigma","Intercept","lp__"
1.58219913503665,4.8441498342113,-0.909739385321977,2.01488835293068,2.06213579106814,-245.125928388568
2.13221104585394,5.74843235788458,-2.50269304028123,2.17532486998316,2.40729970757294,-247.781231746292
1.95732007189897,5.76383331239435,-1.53931239716277,2.19459901141782,2.43385313626452,-246.833342620026
1.58800615623986,3.81009657676963,-0.426747735698743,2.23423324337434,2.02524408358076,-247.902732513089
2.21072087424318,5.04931716247926,-2.28182273712486,1.88659233063198,2.43507715793862,-246.201345894281
2.02903092147162,4.27726273026055,-1.6393437537796,2.06299753378479,2.2798236248635,-243.95506725072
2.08599859395038,3.920353066006,-1.8049687799433,2.17370368537799,2.25329513134225,-245.399257379686
1.74784695311318,5.92997522256365,-1.70996246328525,1.97986954719091,2.21198923278708,-246.599359197849
1.7113598093625,4.34383350838401,-0.542190393898747,2.16678058271837,2.19833193591917,-246.031660709037
2.24714453295501,4.04986825633533,-2.0456745655609,1.81752052223716,2.38250403750591,-246.785969301669
1.8163542267677,5.1903188053369,-0.828443319791667,2.33765829573131,2.36085820271934,-247.724152674228
1.97756299768769,4.56191519719138,-1.32697835209641,2.09545227407555,2.33224543479759,-243.948602585141
1.65674288380713,4.31392277506048,-1.87720841552654,2.09204379599638,1.86337876680998,-246.441646140207
2.11610625762082,4.73398073265197,-1.00692663014488,1.9808942886756,2.56073946968077,-245.559985032148
2.12874199631426,3.85391815303133,-1.38658782035273,2.13743395646279,2.37343667528008,-245.031254696919
2.02983406754289,3.73541941642852,-0.807606659352637,2.19006504229313,2.37797329890835,-246.174468619797
1.96026939004553,5.42987219419015,-2.39667463699313,1.93650065101437,2.21335356090077,-246.379865953037
1.85880800060849,5.10286538498105,-0.979276596750685,2.36074121805083,2.36004255093333,-247.501137950726
1.97058446849362,4.16779793177562,-1.65129546416646,2.24496277968424,2.20380581132479,-245.428081217362
1.94650574278523,3.83308655322866,-1.18242471933137,2.22356230227011,2.23056773923096,-245.627554387385
1.72237847442626,4.83259161627981,-1.78446532289668,2.03369197185797,2.01974311331382,-244.652387258045
1.89124371347073,4.32554562558258,-1.60040846438586,2.07238949332512,2.15675170367815,-244.037691500794
2.00990912223482,4.41980375945557,-1.75125201940584,2.17915576912217,2.25720922297231,-244.631363649918
1.85083072369362,4.49413153794524,-1.84387571768031,2.096130039246,2.08921940802807,-244.544979407951
1.78910261096565,4.60059684871113,-1.98827475165941,2.39838904897871,2.012300503548,-248.051981993671
2.02992875293402,6.15981553762566,-1.95601894881737,2.0438020871142,2.47486490664431,-248.201792486271
2.13133428309917,5.71281908658484,-2.24459098732379,2.0649322593483,2.45491119421629,-246.822537780215
1.57775551714498,3.62026423086179,-1.4063285958625,2.07636210113878,1.78613777053368,-248.201276276636
1.50551601991107,4.03767362924434,-0.983236144492503,1.9674106390697,1.85900835267046,-246.86847377517
2.38742914882371,4.91421366036462,-1.80414654014549,2.09574621247744,2.69198002470597,-246.616650353081
2.20886004963336,5.46556503135713,-1.67264089245566,2.07843243523451,2.61666745551938,-246.630950640794
2.27061385676309,4.46775206846877,-1.68460744554516,2.11810885949875,2.53831604988737,-245.101737938969
2.27061385676309,4.46775206846877,-1.68460744554516,2.11810885949875,2.53831604988737,-245.101737938969
1.82228540508085,4.25471624885206,-1.70647240776337,1.88596462130398,2.05607956193699,-245.053434537955
1.83981329460713,5.61530417227125,-1.74015524972859,2.0490496089144,2.25430588739035,-245.288215877069
2.21903896675678,4.68641367253616,-2.07686459838468,2.32032031029769,2.43574472882011,-246.875431732987
1.69686624211535,4.9745107699359,-1.32445264584253,1.81547717195683,2.1089809733115,-245.501543691599
1.68677602254057,4.91887431192078,-1.26416635158833,1.95560885377824,2.10368978592516,-244.353946255772
2.2794402318327,3.93454188967546,-2.13918937128547,1.98757293477174,2.37954476048749,-245.988884926126
2.21662335892452,3.74034311284669,-1.87349076673861,2.04643653665592,2.34491397447469,-245.579690101212
2.13584530587607,4.12384443532967,-1.78242550767685,2.0720559664461,2.33587374364358,-244.479788999101
2.39073809233139,5.15031106331802,-1.93774173459226,2.05023395830199,2.70021374218375,-247.103418241347
1.46037749036799,4.08683944742034,-0.946329174948783,1.97792376200985,1.82828724002277,-247.20339235612
1.70709553975413,4.8301280136177,-1.195894670082,1.86114324298059,2.12589360989133,-244.853917274466
1.76387823466819,5.32383944828654,-1.15775876405724,2.14915132448276,2.25866462117863,-245.368479052755
2.04422508085358,3.44958650798616,-1.76943604919821,2.01857474943397,2.15393989936239,-246.437014742692
1.71517530782124,4.47703678927158,-1.29709486514153,1.98283056120159,2.06433316872597,-244.209731168447
1.89133424894606,3.84416641316758,-1.34603998454304,1.8884764726222,2.14307306775337,-245.168297569288
2.2101031611035,5.35682309773613,-2.3595122270083,1.87319850550295,2.46080036899642,-247.27187831403
1.56830446614777,3.46169502076821,-0.0638306863653556,2.27302020906736,2.03257329252297,-250.173664920056
2.16608243048296,4.54157826094693,-1.86291978180647,2.0258471997169,2.40707533920534,-244.265384953527
2.09293497692968,5.72283301657911,-1.72683202788007,2.2230783610797,2.52501566310334,-247.342610587122
1.82728937485214,3.65754683618489,-1.26681203306069,1.77249387983456,2.06967955231336,-247.793257530997
1.97629612363318,5.86043899469945,-1.54162822206003,2.33541553007414,2.46567497351034,-248.577719269895
1.9764119983824,4.10098062810261,-1.44655491106106,1.87575131338348,2.2427772758322,-244.486376917124
1.78005640162111,4.37695899610814,-1.16809029287813,1.77299227834953,2.142101030144,-245.875630292153
2.11734680410689,4.58869792421294,-1.56247700140885,2.09256832316523,2.42699955198271,-244.205975886038
2.1332905361673,4.66535471383932,-1.33919004683008,1.93568163393441,2.49971393528374,-244.644368464249
1.79010457886366,4.12635906152486,-1.54315715372535,2.03219845334585,2.03998365899288,-244.669674710747
2.23929930007371,3.32172110860255,-0.814043262359398,2.21520735647946,2.52904498491005,-248.083196916046
2.34576792255934,3.37365115392647,-0.710935389870038,2.06203553248734,2.6640090355416,-248.83697855205
1.32435028073456,4.28764974070138,-1.17465134770475,2.04976586472733,1.67271893165101,-248.663319308764
1.56078818366973,4.1695770861576,-1.34802884140415,2.00350145989669,1.85699974560786,-246.191716522452
2.16196245023662,4.6603997323374,-1.19178116327314,1.89302399962592,2.55820079333009,-245.598926513573
1.63342486074959,4.51587381432398,-1.54750757444769,2.14319036145921,1.93613002663268,-245.457865695324
2.33867630887489,4.52338937374617,-1.72195443454199,1.92591830731496,2.60632564983119,-245.781531198162
1.97917992747582,4.50314488347636,-1.72461891722336,2.06153426414316,2.24348565266773,-243.853027753224
1.97050853985857,3.77944235956971,-1.3383320887838,2.05502002927289,2.21491464005084,-244.707023479726
1.77978478625517,4.64178687696775,-1.00695249159518,1.94462237425999,2.21169625378275,-244.265840521767
2.07094259668125,4.48830357233026,-1.79707995454745,2.07389822540608,2.31820930571699,-244.047329505823
1.9126467799628,5.06553267294767,-1.26543448923849,1.90485537773573,2.34952690949244,-244.605982482222
2.26567929709451,4.32348133500484,-2.13054253539258,2.04519260486303,2.4212196463243,-245.237537818083
1.70525906357088,4.04856945297789,-0.565486350267945,1.99637146987287,2.14668526047791,-245.788470541686
1.66780839090666,5.50488009795784,-0.695701386701342,2.08085369298344,2.28316397958333,-247.056867101465
1.97147060479667,4.52296494512041,-1.86420678087559,2.02549649630393,2.20962988394246,-243.999853770731
1.95781072676874,4.53849536599022,-1.55283835902529,1.97814082193923,2.26253318572768,-243.596126740268
2.0807733391057,4.40096751392795,-1.27906954432245,2.25716209121701,2.42316826289112,-245.576402702257
1.60367565167052,5.2921286189483,-1.63586996834203,2.16282646202182,1.99516857117883,-245.819464294401
2.5151530298637,3.97160091616856,-1.6808087587963,2.08933823863693,2.71520651648082,-247.36917206758
2.00690117136168,4.576827172875,-1.49672984687518,2.13296713037407,2.32851943378405,-244.114997567234
2.08386011723584,4.20639598201185,-1.17566836551451,2.06159844258759,2.42081093568274,-244.386410728774
1.84322378223379,3.61395971639975,-1.62967202201775,2.25025922262664,2.00452746269904,-247.285330646738
1.84844569150781,3.55105471684324,-1.3855577292881,2.25757549071006,2.05157922570244,-247.073196114113
2.04909771765951,4.7862855209933,-2.59330165863592,2.02963541152889,2.1727298601477,-246.440504598551
1.71492216562936,4.98921994755212,-1.09763355333454,2.11331750432588,2.17599383701561,-244.696578131284
2.04029883784935,4.61557590797636,-2.20103177224743,1.82478406293695,2.22154411365697,-246.042047600381
2.04200775391444,5.03489717538195,-1.35049084262767,1.82417752942277,2.4570644313545,-245.758360877761
1.85434973541086,4.94493541812424,-1.47883110166285,1.87890870544888,2.23044473756672,-244.259322947302
2.24407408823831,4.99317965295029,-1.4101106851057,1.9637156135546,2.64104148483027,-246.123021700455
1.74714944514222,4.36719435863379,-1.49486374629763,1.99461310909038,2.04023892640943,-244.350733626804
2.07913655995763,5.10531303453636,-1.71304455757976,1.82693869195663,2.42889465625649,-245.593422406977
1.62684030256986,3.85379049422316,-1.34339150158543,2.24519556921054,1.88045454282434,-247.391346582072
1.52318816831748,4.1879622165121,-1.27127370379685,2.25866950817356,1.83781598360256,-247.44142629306
1.92169164818747,4.2517384432286,-1.15548779089134,1.89771840192245,2.26907189051734,-244.252162420408
1.95242131769903,4.08271875416458,-1.97654561461273,2.01976540609764,2.10661446697427,-245.152897749526
2.06744234870313,5.20302840634283,-1.98422428792508,2.19391831226463,2.37457227621419,-245.501071410124
1.66331105659386,4.15555350032266,-0.559030309647006,2.07700774044428,2.12082940636657,-245.824461858474
1.98657149640685,3.95446865504631,-1.7905335512262,1.99174436934928,2.16156023133195,-244.824482816917
1.84576165658416,4.66203889172749,-1.45037856089382,1.98049994365466,2.18872318077543,-243.656861038657
2.13931079336867,4.24082875692265,-1.62191972398375,2.08775652475156,2.38868309280964,-244.297510815363
1.76725007665033,5.35712116274282,-1.64762582747021,2.043576974794,2.16527523824171,-244.670546893411
1.64011672163425,4.81333379992042,-0.0795236535183814,2.1083701118025,2.28757166227465,-248.436622033199
2.1920140583746,5.15737955658012,-2.27098624249446,2.11506168832979,2.43351753324886,-245.795317922673
1.86074113343217,5.98400316939889,-2.08594251742372,2.39925285470231,2.25454656698573,-249.420276585898
1.89843672263637,3.50529171746447,-0.790419266026062,1.86027904097272,2.21839021483298,-247.04128502052
1.80861616955992,4.53379314707824,-1.14314463766902,2.15573557874535,2.1974542648116,-244.481660645579
2.27529345191671,4.99997471126139,-1.96969209284993,2.0223183634497,2.55742263425967,-245.513606086888
1.92955150664348,3.94423956024714,-1.41661279929669,2.00749440688619,2.18049224613342,-244.343940123155
2.07445264468466,3.99464358681002,-2.3405054261307,2.1845815121107,2.14119546504521,-247.009802430529
2.35026996961763,4.15493331393699,-2.49526912118706,2.25782525840759,2.40710164301851,-247.93768663223
2.39439339063771,4.12603127714192,-2.0056445859534,1.88202368349699,2.54854020418416,-246.774756227731
1.87419376192499,4.57014529973491,-2.01441522044723,2.35419332386634,2.0877830680028,-247.189858255561
1.36717547965083,6.0140995617694,-0.991827109108038,2.02087790996028,1.99150084490702,-249.196652334765
1.73292383779327,5.01357602910229,-1.24916279484504,2.12723535340599,2.16600409114979,-244.586301203761
1.77444525713283,5.09735584984075,-1.1821148986312,2.10411507560559,2.23295332635958,-244.598341061947
2.1450179489273,4.41811454860051,-1.28022253411626,2.09500583354374,2.4895394313309,-244.635205059034
