"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
0.556351118139015,0.001126044567205,0.10435012978768,0.344387492121507,0.485985245177665,0.558620953056234,0.628700193917851,0.75370101864282,8587.6597287208,1.00043690122067
0.554173828451282,0.00114433798997603,0.10578356338242,0.338859826179787,0.482651798963672,0.556819279786243,0.627328034302219,0.754551297163606,8545.3086325403,1.00044040960344
0.551996538763548,0.0011628516943114,0.107230660157252,0.333723014796097,0.479756550045039,0.554486075145257,0.625995685192144,0.75555680879299,8503.3352036094,1.00044377815064
0.549819249075815,0.00118157532444792,0.108690874383908,0.328904454535475,0.476596507605169,0.552371803320313,0.625063993055412,0.754805366939781,8461.81136389313,1.00044701178555
0.547641959388081,0.00120049905692657,0.110163684450085,0.323905160132011,0.473702553026397,0.550283363303163,0.624001596457311,0.755614302700736,8420.79817775922,1.00045011539509
0.545464669700348,0.00121961357626277,0.111648591883633,0.3185060803683,0.470481026910908,0.54785894661074,0.622643316876731,0.756327324306258,8380.34696909754,1.00045309380686
0.543287380012615,0.00123891005086171,0.113145120390934,0.313096905017162,0.467368657643759,0.545742404511651,0.621610080944894,0.756649006188846,8340.50035664232,1.00045595177001
0.541110090324881,0.0012583801093603,0.114652814913812,0.307595543314197,0.464160083961702,0.54351086829959,0.620549921611302,0.757807872066137,8301.29320757277,1.00045869393971
0.538932800637148,0.00127801581753799,0.116171240708463,0.302883134494103,0.460972181604485,0.54157900846006,0.619725803994573,0.758477350469162,8262.75351110584,1.0004613248645
0.536755510949414,0.00129780965590541,0.117699982449137,0.297423938426586,0.457908163098474,0.539458944004119,0.618458597170597,0.758180637534383,8224.90317498615,1.00046384897646
0.534578221261681,0.00131775449805111,0.119238643358651,0.291698161586931,0.454350150098738,0.537507768715611,0.617141404886952,0.758506370886833,8187.7587486036,1.00046627058359
0.532400931573947,0.0013378435898035,0.120786844367244,0.286739740575691,0.451223376526154,0.535557780712488,0.616223011429682,0.758390969942947,8151.3320770056,1.00046859386423
0.530223641886214,0.00135807052924496,0.122344223300829,0.281419984183846,0.448101694560748,0.533720680261227,0.615158244945103,0.759289972400999,8115.63089037759,1.0004708228632
0.52804635219848,0.00137842924759922,0.123910434099272,0.275680296438119,0.444675549735264,0.531812033128592,0.613971342438186,0.759908477453196,8080.65933369608,1.00047296148942
0.525869062510747,0.00139891399099967,0.125485146065014,0.270541612347011,0.441746672292716,0.529546404851801,0.612677130967998,0.760222730447991,8046.41844125521,1.00047501351474
0.523691772823013,0.00141951930313588,0.127068043142037,0.265503005729683,0.438805545807091,0.527483393003718,0.611437427381752,0.760941769020603,8012.9065606666,1.00047698257393
0.52151448313528,0.00144024000876683,0.128658823224979,0.259722750047512,0.435787345501994,0.525395419208066,0.610206545949596,0.761353361098617,7980.11973076011,1.00047887216542
0.519337193447546,0.00146107119808315,0.130257197497976,0.255021486822504,0.432549151894838,0.523231755817479,0.609055277603327,0.762439407247049,7948.05201759302,1.00048068565289
0.517159903759813,0.00148200821189535,0.131862889802696,0.250302766776207,0.42953872679321,0.521302221239424,0.608038471128049,0.763348078130866,7916.69581252605,1.00048242626737
0.51498261407208,0.00150304662762112,0.133475636034859,0.244106105593995,0.426273126390579,0.519229358890111,0.606965320241503,0.764602866104493,7886.04209605702,1.00048409710992
0.512805324384346,0.00152418224604264,0.135095183568487,0.2391886123642,0.42307756631062,0.517350948558076,0.605838933798457,0.765965616011423,7856.08067083022,1.00048570115465
0.510628034696613,0.0015454110788023,0.136721290707033,0.234050478784996,0.420199701364249,0.515470301810495,0.604744677981428,0.766725711356165,7826.80036696813,1.00048724125202
0.508450745008879,0.00156672933660472,0.13835372616049,0.228253909198845,0.417261368581758,0.513258562828009,0.603585376762742,0.767775730940833,7798.18922260649,1.00048872013243
0.506273455321146,0.00158813341809208,0.139992268547543,0.222122992834997,0.414186626513193,0.511054500844226,0.602478970021195,0.768856581644192,7770.23464226033,1.00049014040996
0.504096165633412,0.00160961989935996,0.141636705921819,0.216688914986848,0.410861312737487,0.508606444551733,0.601473883846744,0.769932327510751,7742.92353540769,1.00049150458617
0.501918875945679,0.00163118552408096,0.143286835321257,0.211077327268286,0.407552594080688,0.506668711418944,0.600473125428414,0.770777285969884,7716.24243745104,1.00049281505408
0.499741586257945,0.00165282719420422,0.144942462339644,0.205637273284576,0.404304156498215,0.504509443344252,0.599303030813742,0.771319417757669,7690.17761500789,1.00049407410206
0.497564296570212,0.00167454196119959,0.14660340071935,0.199887865455816,0.400695129999367,0.502222577667711,0.597992104189915,0.77191395216561,7664.71515728603,1.00049528391783
0.495387006882478,0.00169632701781629,0.148269471964319,0.194595639804955,0.39705957182706,0.500320236947369,0.596982423183878,0.772502851965632,7639.84105512216,1.00049644659233
0.493209717194745,0.00171817969032698,0.149940504972402,0.1888595782474,0.393736955129951,0.49836142857797,0.596534907013263,0.772957541261466,7615.54126909806,1.00049756412363
0.491032427507012,0.00174009743122926,0.151616335686101,0.183286828006698,0.390220928947943,0.496206561390488,0.595692613622127,0.774098971158527,7591.80178800119,1.00049863842073
0.488855137819278,0.00176207781237806,0.153296806760881,0.177162899100364,0.38717982514405,0.494195683037244,0.594926992123265,0.773986527193912,7568.60867876072,1.00049967130725
0.486677848131545,0.00178411851852334,0.154981767250171,0.171674286082545,0.384031573134791,0.491957138875224,0.593848343146779,0.774684738269921,7545.94812886877,1.00050066452513
0.484500558443811,0.00180621734122908,0.15667107230625,0.165967040655137,0.380960974536804,0.489655991544171,0.592640261747354,0.776222274558256,7523.80648218657,1.0005016197381
0.482323268756078,0.00182837217315053,0.158364582896225,0.160242608190939,0.377575204139142,0.487449916762238,0.591613357096127,0.776851094318761,7502.17026893586,1.00050253853514
0.480145979068344,0.00185058100264821,0.160062165532337,0.154491067236861,0.374123892617266,0.485249883588781,0.590646562021622,0.777560344734543,7481.02623058749,1.00050342243379
0.477968689380611,0.00187284190871799,0.161763692015878,0.148397829561485,0.3711912978414,0.483241017469362,0.58996609495862,0.778108465068134,7460.36134027905,1.00050427288334
0.475791399692877,0.00189515305621809,0.163469039194018,0.142464872110775,0.367939348435433,0.481340503857952,0.589050894756416,0.779388441685348,7440.16281932223,1.00050509126793
0.473614110005144,0.00191751269137474,0.165178088728874,0.136213513357412,0.365053555791745,0.479007247238893,0.588089769624902,0.780498208082871,7420.41815029677,1.00050587890949
